id,id_customer,timestamp,amount,transaction_type,description
1,1,2026-06-18T14:16:08Z,72449569,Debit,Setoran tunai melalui jaringan perbankandUXYDeKAnfuQqDc0ADZm
2,1,2026-06-18T02:40:06Z,49928708,Credit,Setoran tunai melalui jaringan perbankanfCSnPsUc5t yGbgNUGEA
3,1,2026-06-18T15:12:53Z,91084463,Credit,Pembayaran transaksi marketplace onlineGKlQ6Ji98dEc4FgrDh5l1
4,1,2026-06-18T05:10:39Z,78966079,Debit,Pembayaran tagihan bulanan pelangganXkJy3p327QwtJdCTgBDVYTaC
5,1,2026-06-18T17:36:18Z,54609496,Debit,Penarikan tunai melalui mesin ATMHOv7HaZklhVAuQVg8VbSx1J8Sn3
6,1,2026-06-18T13:45:56Z,1170032,Credit,Pengisian saldo rekening melalui transferjli9UP0ETBqbHjSOUf5
7,2,2026-06-18T12:47:06Z,55022164,Debit,Transfer masuk dari rekening pelanggan lainy6ojQCuceeJ3172tS
8,2,2026-06-18T14:16:29Z,72471083,Credit,Pengisian saldo rekening melalui transfermbnduJjYKWJXTuFZkO 
9,3,2026-06-18T21:21:58Z,83043813,Credit,Transfer dana antar rekening pelangganTEmNwxG7QPx0A3bIeV0J4t
10,3,2026-06-18T12:10:02Z,71199401,Debit,Pembelian produk melalui aplikasi digitalNm1fuCxcbflGD43nxBo
11,5,2026-06-18T02:32:06Z,51720389,Credit,Transfer dana antar rekening pelanggancLqmvJOJFKX zI2mu6dSa8
12,5,2026-06-18T19:50:54Z,22035010,Credit,Transfer masuk dari rekening pelanggan lainETHAV44q57hawuAD2
13,5,2026-06-18T21:49:41Z,56324138,Debit,Pembayaran tagihan bulanan pelangganD3l6lW VkNCpP5UY6rHgYyD4
14,5,2026-06-18T00:55:13Z,87031961,Credit,Pembayaran transaksi marketplace onlineayYuP1Z2sMMBd7blyfYPV
15,5,2026-06-18T23:30:39Z,38891505,Credit,Pembayaran transaksi marketplace onlineo9Kf1OV9hLuqU07N1WZZZ
16,5,2026-06-18T08:33:22Z,23828297,Debit,Transfer dana antar rekening pelanggancz8QTfqvC6TOVqkv3L tpw
17,5,2026-06-18T19:54:53Z,9231406,Credit,Setoran tunai melalui jaringan perbankanH hWOogLInL 5CI0ozQh
18,5,2026-06-18T15:42:17Z,92835979,Credit,Transfer masuk dari rekening pelanggan laina5DsGn5AGQUTFFfF6
19,5,2026-06-18T09:54:30Z,39782318,Debit,Pembayaran tagihan bulanan pelangganLoDAdGM39DTTLIqUcrm6WKR1
20,5,2026-06-18T06:46:09Z,11901563,Debit,Penarikan tunai melalui mesin ATM3h5AJtSOwI0b1ukvsPVCm4 FIXx
21,5,2026-06-18T07:23:33Z,19190000,Debit,Transfer dana antar rekening pelanggano3mIgULAip7T Fwr2egW6u
22,5,2026-06-18T06:42:16Z,92274344,Credit,Pembayaran tagihan bulanan pelanggan3oQSkOBPPO8tXQKNFNGKOnqh
23,5,2026-06-18T00:07:47Z,5789955,Debit,Pengisian saldo rekening melalui transferUeF34flvrtV2i5fPT8I
24,5,2026-06-18T08:13:25Z,74278026,Debit,Transfer masuk dari rekening pelanggan lainEdg1CLurbY5w55omO
25,5,2026-06-18T01:55:06Z,21885349,Debit,Pembayaran merchant menggunakan kartu debitooNUDd7xJLJaK97ZQ
26,5,2026-06-18T13:42:58Z,47776919,Debit,Penarikan tunai melalui mesin ATMkcSx7yz glt3BQNsXQlf8wNGYVC
27,5,2026-06-18T02:06:42Z,72979475,Credit,Transfer masuk dari rekening pelanggan lainDJ87TGzGtAQ1 zrL8
28,5,2026-06-18T04:41:16Z,81061107,Credit,Pembayaran merchant menggunakan kartu debitDwdRPQkMuqMFNJDlY
29,5,2026-06-18T07:50:07Z,12047465,Credit,Pembayaran transaksi marketplace onlineC7QvelkhBQC1Hvfo xUN3
30,5,2026-06-18T18:40:02Z,96826547,Debit,Pengisian saldo rekening melalui transferTElGj03VucLZ7L8o7SM
31,5,2026-06-18T06:04:10Z,15919885,Credit,Pembayaran transaksi marketplace onlineicbp9mNUjw3IyDH6IYoWS
32,5,2026-06-18T13:13:36Z,6281189,Credit,Pengisian saldo rekening melalui transferEJJYDUxNxgyl2 q14Yb
